Year,Ward,GeoCode,Value
2017-18,,,76.4324212654
2017-18,Stoke Bishop,E05010916,91.5255865828
2017-18,Windmill Hill,E05010918,92.1502225093
2017-18,Hartcliffe & Withywood,E05010900,50.185424752
2017-18,Hillfields,E05010903,68.637473748
2017-18,Hotwells & Harbourside,E05010905,85.2897642301
2017-18,Cotham,E05010895,95.8890815679
2017-18,Westbury-on-Trym & Henleaze,E05010917,93.3736827945
2017-18,Clifton,E05010893,88.4624330304
2017-18,Central,E05010892,73.8926174148
2017-18,Eastville,E05010897,71.3716019817
2017-18,St George Central,E05010910,64.3046025329
2017-18,Frome Vale,E05010899,71.2446968586
2017-18,Redland,E05010909,93.6257610194
2017-18,Bishopsworth,E05010889,73.8511471093
2017-18,Southmead,E05010913,60.2494369974
2017-18,Knowle,E05010906,70.1542018105
2017-18,Lockleaze,E05010908,66.3868722479
2017-18,Filwood,E05010898,50.8832120541
2017-18,Horfield,E05010904,82.3685927135
2017-18,Southville,E05010914,88.8832595236
2017-18,Henbury & Brentry,E05010901,73.1728277197
2017-18,Brislington West,E05010891,75.8191968625
2017-18,Easton,E05010896,77.0380223863
2017-18,Brislington East,E05010890,69.5827549672
2017-18,Stockwood,E05010915,66.7629466027
2017-18,Ashley,E05010885,80.3256468524
2017-18,Bishopston & Ashley Down,E05010888,86.5740864362
2017-18,Hengrove & Whitchurch Park,E05010902,75.5199606346
2017-18,Clifton Down,E05010894,93.135338504
2017-18,St George West,E05010912,77.5430718277
2017-18,Avonmouth & Lawrence Weston,E05010886,68.0032389635
2017-18,Bedminster,E05010887,83.928850533
2017-18,St George Troopers Hill,E05010911,84.8851644941
2017-18,Lawrence Hill,E05010907,65.17224168
2018-19,Henbury & Brentry,E05010901,82.8987067121
2018-19,Southmead,E05010913,73.0036347027
2018-19,Bishopsworth,E05010889,64.2954812642
2018-19,Westbury-on-Trym & Henleaze,E05010917,93.304942989
2018-19,Clifton Down,E05010894,96.2331853672
2018-19,Eastville,E05010897,65.7532442526
2018-19,Hartcliffe & Withywood,E05010900,43.8207322822
2018-19,Horfield,E05010904,80.6717157045
2018-19,Hotwells & Harbourside,E05010905,85.2760042083
2018-19,Redland,E05010909,95.908755965
2018-19,Ashley,E05010885,76.5892604993
2018-19,Easton,E05010896,80.129773648
2018-19,Filwood,E05010898,54.5280092632
2018-19,Lockleaze,E05010908,77.0055282524
2018-19,Stoke Bishop,E05010916,88.5334020913
2018-19,Frome Vale,E05010899,67.9234062548
2018-19,Knowle,E05010906,84.4884751696
2018-19,Lawrence Hill,E05010907,56.747668907
2018-19,Southville,E05010914,92.2967247315
2018-19,St George West,E05010912,70.2459838111
2018-19,Central,E05010892,74.2840566194
2018-19,St George Troopers Hill,E05010911,76.1409237871
2018-19,Stockwood,E05010915,58.2881211515
2018-19,,,76.7314698
2018-19,Avonmouth & Lawrence Weston,E05010886,70.9296612498
2018-19,Bishopston & Ashley Down,E05010888,84.8773512329
